Lesson Number,Lesson Title,Chapter Title,Module Title,Description,Resource Number,Key Concept,Concept Definition,Resource Title,Resource Description,Resource Link,Resource Source
7.2.3,Gender and Intersectionality in Energy Data and Planning,,,"This lesson examines the integration of gender and intersectionality into energy data and planning, emphasizing the systemic disparities faced by marginalized groups. It explores challenges in sex-disaggregated data collection, gender-responsive policy design, and inclusive participatory approaches to decision-making. The lesson underscores the need for intersectional analysis to address overlapping inequalities and ensure equitable energy access and planning.",1,gender-responsive data,"Gender-responsive data refers to information that is collected, analyzed, and presented in a way that recognizes and addresses the different needs, experiences, and roles of individuals based on their gender. This type of data helps to inform policies and programs that promote gender equality and empower all genders.",Trade and Development Report Update 2024,,https://www.irena.org/Publications/2024/Jun/Tracking-SDG-7-The-Energy-Progress-Report-2024,Seimens Energy
7.2.3,,,,,2,intersectional analysis,"Intersectional analysis is a framework for understanding how various social identities, such as race, gender, class, and sexuality, intersect and interact to shape individual experiences and systemic inequalities.",Maximizing Socioeconomic Benefits Triggered by Renewables,,https://www.esmap.org/Maximizing_Socioeconomic_Benefits_Triggered_by_Renewables?title=&year=all&created=&created_1=&programs%5B1664%5D=1664&programs%5B1656%5D=1656&programs%5B15%5D=15&programs%5B1240%5D=1240&programs%5B1652%5D=1652&sort_by=field_published_on_value&sort_order=DESC,ESMAP
7.2.3,,,,,3,sex-disaggregated data,"Data that is collected and presented separately for different sexes, allowing for analysis of gender differences and inequalities.",IPCCâs Sixth Assessment on Tackling Climate Change,,https://www.sciencedirect.com/science/article/abs/pii/S0360544224019340,RMI
7.3.1,Data Science Techniques for Energy Analysis,Tools and Techniques for Data-Driven Insights in Energy,,"This lesson explores data science techniques for energy analysis, covering exploratory data analysis (EDA) methods like anomaly detection and predictive modeling. It highlights AI-driven automation in data cleaning, remote sensing integration with GIS for renewable energy optimization, and the role of data visualization in translating complex energy data into actionable insights. The lesson emphasizes leveraging these tools to enhance decision-making and sustainability in the energy sector.",1,data visualization,"Data visualization is the graphical representation of information and data, using visual elements like charts, graphs, and maps to make complex data more accessible and understandable.",Renewables 2023 Global Status Report,,https://www.undp.org/namibia/stories/green-hydrogen-people-centred-approach-sustainable-development-namibia,IRENA
7.3.1,,,,,2,exploratory data analysis (eda),"Exploratory Data Analysis (EDA) is an approach to analyzing data sets to summarize their main characteristics, often using visual methods, before applying formal modeling or hypothesis testing.",SEforALL Analysis of SDG7 Progress,,https://www.seforall.org/data-stories/seforall-analysis-of-sdg7-progress,Sustainable Energy for All
7.3.1,,,,,3,geographical information system (gis),"A Geographical Information System (GIS) is a technology that captures, stores, analyzes, and presents spatial or geographic data, allowing users to visualize and interpret data related to locations on Earth.",The Sustainable Development Goals Report 2023: Special Edition,,https://www.iea.org/reports/energy-access-and-air-pollution,International Hydropower Association
7.3.2,Energy Modelling Tools and Applications,,,"This lesson explores energy modelling tools and their applications in analyzing and optimizing energy systems, covering descriptive, prescriptive, and predictive models for policy analysis, scenario planning, and load forecasting. It highlights renewable energy integration, grid stability, and the role of data value chains in ensuring accurate models to support sustainable energy decision-making and efficient resource management.",1,grid stability analysis,"Grid stability analysis is the assessment of an electrical grid's ability to maintain consistent voltage and frequency levels during normal operation and after disturbances, ensuring reliable power supply.",ECA and Partners Train Experts on Energy Modelling Tools for Efficient Energy Systems,,https://www.uneca.org/stories/eca-and-partners-train-experts-on-energy-modelling-tools-for-efficient-energy-systems,ECA
7.3.2,,,,,2,renewable energy integration,"The process of incorporating renewable energy sources, such as solar or wind, into the existing energy system to ensure a reliable and efficient energy supply.",Innovation Outlook: Renewable Ammonia,,https://www.irena.org/Publications/2022/May/Innovation-Outlook-Renewable-Ammonia,IRENA
7.3.2,,,,,3,scenario planning,Scenario planning is a strategic planning method used to make flexible long-term plans by envisioning and analyzing different future scenarios based on varying assumptions and uncertainties.,Renewable Energy Policy Network for the 21st Century (REN21) Renewables 2024 Global Status Report,,https://www.weforum.org/agenda/2021/03/artificial-intelligence-is-key-to-grid-resilience/,Green Climate Fund
7.4.1,A.I. Applications in Energy,Future Directions for Data in the Energy Sector,,"This lesson explores the application of artificial intelligence (AI) in modern energy systems, focusing on predictive maintenance, energy optimization, and smart grid management. It highlights AI's role in enhancing asset reliability, integrating renewable energy, and improving demand forecasting through advanced analytics. The lesson also addresses AI-driven energy efficiency in buildings, transport, and industry, alongside emerging applications in carbon capture and grid resilience, underscoring its transformative potential in building sustainable and adaptive energy infrastructure.",1,artificial intelligence,"Artificial intelligence (AI) refers to the simulation of human intelligence in machines that are programmed to think and learn like humans, enabling them to perform tasks such as problem-solving, understanding language, and recognizing patterns.",Global Trends in Renewable Energy Investment 2016,,https://www.irena.org/Publications/2022/Sep/Scaling-up-renewables-in-landlocked-developing-countries,The Climate Investment Funds
7.4.1,,,,,2,data science,"Data science is the field that uses scientific methods, algorithms, and systems to extract knowledge and insights from structured and unstructured data.",Nuclear Energy for Net Zero: Accelerating Investment in Clean Energy Transitions,,https://www.iaea.org/publications/15664/nuclear-energy-for-net-zero-accelerating-investment-in-clean-energy-transitions,International Energy Agency
7.4.1,,,,,3,generative ai,"Generative AI refers to artificial intelligence systems that can create new content, such as text, images, music, or other media, by learning patterns from existing data.",Tracking Public Investment in Energy Technology Research: A Roadmap,,https://www.uneca.org/stories/eca-trains-national-experts-in-energy-modelling-tools,ESMSP
7.4.2,Emerging Trends and Technologies in Energy,,,"This lesson examines emerging trends and technologies transforming the energy sector, focusing on advanced AI techniques like deep learning and reinforcement learning for predictive maintenance, grid optimization, and renewable energy management. It explores blockchain applications in peer-to-peer energy trading and transparent emissions tracking, alongside addressing challenges such as data equity, infrastructure limitations, and ethical risks in AI deployment.",1,blockchain,"Blockchain is a decentralized digital ledger technology that securely records transactions across many computers, ensuring that the recorded data cannot be altered retroactively.",Renewables 2022,,https://www.iea.org/reports/renewables-2022,IEA
7.4.2,,,,,2,data equity,"Data equity refers to the fair and just access, use, and representation of data across different communities, ensuring that all groups benefit from data-driven insights and decisions.",Innovation Trends in Electrolysers for Hydrogen Production,,https://www.irena.org/Publications/2022/May/Innovation-Trends-in-Electrolysers-for-Hydrogen-Production,IRENA
7.4.2,,,,,3,deep learning,"Deep learning is a subset of machine learning that uses neural networks with many layers to analyze and learn from large amounts of data, enabling tasks like image and speech recognition.",Clean Aviation Highlights 2023: Towards Disruptive Technologies for Aircraft by 2035,,https://policycommons.net/artifacts/14524274/clean-aviation-highlights-2023-towards-disruptive-technologies-for-aircraft-by-2035/15424037/,Clean Aviation
8.1.1,Key Drivers of Future Energy Demand and System Transformation,Chapter 1: Future Trends and Projections ,Innovation in Sustainable Energy,"Explores macroeconomic trends, demographic shifts, and technological factors—such as digitalization, improved energy efficiency, and electrification of hard-to-abate sectors—that are reshaping energy demand. It emphasizes understanding how these drivers contribute to system transformation.",1,,,How Digitally Automated Demand Could Transform the Way We Use Energy,,https://www.carbontrust.com/en-eu/news-and-insights/insights/net-zero-in-conversation-how-digitally-automated-demand-could-transform-the-way-we-use-energy,Carbon Trust
8.1.1,,,,,2,,,Renewables 2023 Global Status Report Collection Energy Demand,,https://www.unep.org/resources/report/renewables-2023-global-status-report-collection-energy-demand,REN21
8.1.1,,,,,3,,,Digitalization: Accelerating the Electricity System Transformation.,,https://unece.org/sed/documents/2022/07/session-documents/digitalization-accelerating-electricity-system,UNECE
8.1.2,"The Changing Landscape of Energy Supply: Resources, Markets, and Policies",,,"Analyzes the interplay between renewable and fossil fuels, evolving supply chains, and government policies in energy sourcing. It examines how market dynamics, technological innovations, and geopolitical factors are redefining energy supply and resource management.",1,,,Financing Clean Energy in Africa,,https://www.undp.org/stories/harnessing-power-hydrogen,IRENA
8.1.2,,,,,2,,,The Changing Role of Hydropower: Challenges and Opportunities,,https://www.irena.org/Publications/2023/Feb/The-changing-role-of-hydropower-Challenges-and-opportunities,IRENA
8.1.2,,,,,3,,,Electricity Market Report 2023,,https://www.iea.org/reports/electricity-market-report-2023,IEA
8.1.3,"Challenges, Tipping Points and Solutions in Renewable Energy",,,"Discusses technical challenges like grid stability and renewable integration, as well as non-technical barriers such as cost constraints and public acceptance. It provides insights into critical tipping points and potential solutions through policy, market reforms, and technological innovation.",1,,,Maximizing Socioeconomic Benefits Triggered by Renewables,,http://www.unwomen.org/en/digital-library/publications/2013/5/guidance-note---sustainable-energy,IEA
8.1.3,,,,,2,,,Scaling Up Renewables in Landlocked Developing Countries,,https://www.irena.org/Publications/2022/Sep/Scaling-up-renewables-in-landlocked-developing-countries,IRENA
8.1.3,,,,,3,,,The Value of Urgent Action on Energy Efficiency,,https://www.carbontrust.com/en-eu/news-and-insights/insights/coal-transition-and-the-need-for-a-system-wide-approach,IEA
8.2.1,Policy and Market Mechanisms for Innovation,Chapter 2: Creating an Enabling Environment for an Innovation-Driven Energy Transition,,"Evaluates the impact of carbon pricing, emissions trading schemes, and government incentives on accelerating clean energy innovation. It details how market reforms and supportive policies drive investments in emerging energy technologies.",1,,,Renewable Energy Market Update June 2023,,https://www.iea.org/reports/renewable-energy-market-update-june-2023,IEA
8.2.1,,,,,2,,,Potential Limitations of Marginal Pricing for a Power System Based on Renewables,,https://www.irena.org/Technical-Papers/Potential-Limitations-of-Marginal-Pricing-for-a-Power-System-Based-on-Renewables,IRENA
8.2.1,,,,,3,,,Off-Grid Solar Market Trends Report 2022,,https://www.esmap.org/Off-Grid_Solar_Market_Trends_Report_2022,ESMAP
8.2.2,The Role of Emerging Sectors in Future Energy Systems,,,"Highlights how decentralized energy resources, electric vehicle integration, and niche technologies are reshaping future energy systems. The lesson explores community-based energy models, EV charging innovations, and emerging trends in battery technology and energy decentralization.",1,,,Decarbonising End-Use Sectors: Insights and Trends 2023,,https://www.irena.org/publications/2021/May/Decarbonising-end-use-sectors-green-hydrogen,IRENA
8.2.2,,,,,2,,,Explainer: How AI Helps Combat Climate Change,,https://news.un.org/en/story/2023/11/1143187,UN
8.2.2,,,,,3,,,The Potential of Hydrogen-based Solutions to Realize a Net-Zero Future Explored at 2021 UNDP Hydrogen Industry Conference,,"https://www.undp.org/china/press-releases/potential-hydrogen-based-solutions-realize-net-zero-future-explored-2021-undp-hydrogen-industry-conference#:~:text=UNDP's%20focus%20will%20be%20on,towards%20a%20net%2Dzero%20pathway.",UNDP
8.2.3,Intersectionality as a Framework for Innovation in Energy,,,"Investigates how incorporating diverse perspectives—considering gender, socioeconomic status, and geography—can lead to more inclusive energy solutions. It discusses how intersectional approaches foster equitable policies and innovation in energy systems.",1,,,Independent Evaluation of Green Climate Fund's Energy Sector Portfolio and Approach,,https://www.unido.org/fileadmin/user_media_upgrade/What_we_do/Topics/Energy_access/UNIDO_ENERGY_Branch_2015.pdf,UN Women
8.2.3,,,,,2,,,"The impact of clean energy consumption, green innovation, and technological diffusion on environmental sustainability: New evidence from load capacity curve hypothesis for 10 European Union countries",,https://onlinelibrary.wiley.com/doi/abs/10.1002/sd.2794,Wiley
8.2.3,,,,,3,,,Trade and Development Report Update 2024,,https://openknowledge.worldbank.org/entities/publication/4020f27e-341c-4883-a3ad-b603fc82cb48,UNEP
8.2.4,Critical Transformations for the Energy Transition,,,"Addresses the need for infrastructure modernization, resilient supply chains, and circular economy practices in the energy sector. The lesson emphasizes upgrading grid systems, diversifying supply sources, and promoting sustainable resource use as key transformation drivers.",1,,,Critical Materials for the Energy Transition: Lithium,,https://www.irena.org/Technical-Papers/Critical-Materials-For-The-Energy-Transition-Lithium,IEA
8.2.4,,,,,2,,,Power Sector Implementation of a Country Coal-to-Clean Transition,,https://rmi.org/insight/power-sector-implementation-of-a-country-coal-to-clean-transition/,RMI
8.2.4,,,,,3,,,Global Energy Transformation Guide: Market Structures,,https://rmi.org/insight/global-energy-transformation-guide-market-structures/,RMI
8.3.1,Actionable Steps Toward a Sustainable Energy Future,Chapter 3: Action,,"Presents practical policy recommendations, industry strategies, and community initiatives aimed at accelerating the clean energy transition. It offers a roadmap for aligning national policies, addressing financing gaps, and enhancing public engagement for a sustainable future.",1,,,ECA and Partners Train Experts on Energy Modelling Tools for Efficient Energy Systems,,"https://www.ren21.net/gsr-2024/#:~:text=RENEWABLES%20GLOBAL%20STATUS%20REPORT%202024%20COLLECTION&text=In%20addition%20to%20providing%20a,%2C%20industry%2C%20transport%20and%20agriculture.",IRENA
8.3.1,,,,,2,,,Implementing Clean Energy Transitions,,https://www.iea.org/reports/security-of-clean-energy-transitions-2022,IEA
8.3.1,,,,,3,,,World Investment Report 2023: Investing in Sustainable Energy for All,,https://www.iea.org/reports/energy-access-and-air-pollution,UNEP
8.3.2,Partnership Ecosystems for Sustainable Energy,Partnerships for Collaboration and Development,,,1,,,Advancing Green Hydrogen Production from Solar and Wind Power Sources and Potential Uses in Viet Nam,,https://www.irena.org/Publications/2022/May/Innovation-Outlook-Renewable-Ammonia,Rocky Mountain Institute
8.3.2,,,,,2,,,UNEP 2023 Annual Report: Keeping the Promise,,https://www.unep.org/annualreport/2023,UNEP
8.3.2,,,,,3,,,System Planning Test SPLAT Models for Africa,,https://www.iea.org/reports/guidebook-for-improved-electricity-access-statistics,Alliance for Rural Electrification
8.3.3,Closing key messages and call to action,,,,1,,,Green Public Procurement: Catalysing the Net Zero Economy,,https://www.nrel.gov/news/program/2025/vast-federal-lands-have-potential-for-renewable-energy-but-only-a-small-fraction-is-needed.html,IRENA
8.3.3,,,,,2,,,World Energy Outlook 2022,,https://www.iea.org/reports/world-energy-outlook-2022,IEA
8.3.3,,,,,3,,,How Digital Technology and Innovation can Help Protect the Planet,,https://unctad.org/publication/trade-and-development-report-update-april-2024,RMI
